2023-02-08 16:42:37 INFO  BankmanagerOperations:initiateDriver:66 - Driver is Started
2023-02-08 16:42:42 INFO  BankmanagerOperations:<init>:47 - https://www.globalsqa.com/angularJs-protractor/BankingProject/#/login
2023-02-08 16:42:42 INFO  BankmanagerOperations:<init>:50 - Driver is navigating to URL
2023-02-08 16:42:42 INFO  BankmanagerOperations:<init>:49 - [[Mitchell, Roy, 547432], [Richardson, John, 510085], [Williams, Roberta, 504368], [Smith, James, 355241]]
2023-02-08 16:42:46 INFO  SeleniumControls:alerts:239 - Mitchell - Customer added successfully with customer id :6
2023-02-08 16:42:47 INFO  SeleniumControls:alerts:239 - Richardson - Customer added successfully with customer id :7
2023-02-08 16:42:49 INFO  SeleniumControls:alerts:239 - Williams - Customer added successfully with customer id :8
2023-02-08 16:42:50 INFO  SeleniumControls:alerts:239 - Smith - Customer added successfully with customer id :9
2023-02-08 16:42:52 INFO  SeleniumControls:vailidation:194 - Mitchell
2023-02-08 16:42:52 INFO  BankmanagerOperations:customersVailidation:117 - Added Successfully to list
2023-02-08 16:42:52 INFO  BankmanagerOperations:customersVailidation:127 - Mitchell
2023-02-08 16:42:52 INFO  SeleniumControls:vailidation:194 - Mitchell
2023-02-08 16:42:52 INFO  BankmanagerOperations:customersVailidation:131 - Test cases passed
2023-02-08 16:42:52 INFO  SeleniumControls:vailidation:194 - Richardson
2023-02-08 16:42:53 INFO  BankmanagerOperations:customersVailidation:117 - Added Successfully to list
2023-02-08 16:42:53 INFO  BankmanagerOperations:customersVailidation:127 - Richardson
2023-02-08 16:42:53 INFO  SeleniumControls:vailidation:194 - Richardson
2023-02-08 16:42:53 INFO  BankmanagerOperations:customersVailidation:131 - Test cases passed
2023-02-08 16:42:53 INFO  SeleniumControls:vailidation:194 - Williams
2023-02-08 16:42:53 INFO  BankmanagerOperations:customersVailidation:117 - Added Successfully to list
2023-02-08 16:42:53 INFO  BankmanagerOperations:customersVailidation:127 - Williams
2023-02-08 16:42:53 INFO  SeleniumControls:vailidation:194 - Williams
2023-02-08 16:42:53 INFO  BankmanagerOperations:customersVailidation:131 - Test cases passed
2023-02-08 16:42:53 INFO  SeleniumControls:vailidation:194 - Smith
2023-02-08 16:42:53 INFO  BankmanagerOperations:customersVailidation:117 - Added Successfully to list
2023-02-08 16:42:53 INFO  BankmanagerOperations:customersVailidation:127 - Smith
2023-02-08 16:42:53 INFO  SeleniumControls:vailidation:194 - Smith
